Total_runs	Proportion_of_Starting_failure	Proportion_failure_after_draws
268	0.2126865671641791	0.0708955223880597
269	0.21189591078066913	0.07063197026022305
270	0.2111111111111111	0.07037037037037037
271	0.2140221402214022	0.07011070110701106
272	0.21323529411764705	0.06985294117647059
273	0.21245421245421245	0.0695970695970696
274	0.2116788321167883	0.06934306569343066
275	0.2109090909090909	0.06909090909090909
276	0.21014492753623187	0.06884057971014493
277	0.21299638989169675	0.07220216606498195
278	0.2158273381294964	0.07194244604316546
279	0.21505376344086022	0.07168458781362007
280	0.21785714285714286	0.07142857142857142
281	0.21708185053380782	0.0711743772241993
282	0.21631205673758866	0.07092198581560284
283	0.21554770318021202	0.0706713780918728
284	0.2147887323943662	0.07042253521126761
285	0.21403508771929824	0.07017543859649122
286	0.21328671328671328	0.06993006993006994
287	0.21254355400696864	0.06968641114982578
288	0.21180555555555555	0.06944444444444445
289	0.21107266435986158	0.06920415224913495
290	0.21379310344827587	0.06896551724137931
291	0.21305841924398625	0.06872852233676977
292	0.21232876712328766	0.0684931506849315
293	0.21160409556313994	0.06825938566552901
294	0.2108843537414966	0.06802721088435375
295	0.21016949152542372	0.06779661016949153
296	0.21283783783783783	0.06756756756756757
297	0.21212121212121213	0.06734006734006734
298	0.21476510067114093	0.06711409395973154
299	0.2140468227424749	0.06688963210702341
300	0.21333333333333335	0.06666666666666667
301	0.21262458471760798	0.0664451827242525
302	0.2152317880794702	0.06622516556291391
303	0.2145214521452145	0.066006600660066
304	0.2138157894736842	0.06578947368421052
305	0.21311475409836064	0.06557377049180328
306	0.21241830065359477	0.06535947712418301
307	0.21172638436482086	0.06514657980456026
308	0.21428571428571427	0.06818181818181818
309	0.21359223300970873	0.06796116504854369
310	0.2129032258064516	0.06774193548387097
311	0.21221864951768488	0.06752411575562701
312	0.21153846153846154	0.0673076923076923
313	0.2108626198083067	0.0670926517571885
314	0.21337579617834396	0.06687898089171974
315	0.21587301587301588	0.06666666666666667
316	0.21518987341772153	0.06645569620253164
317	0.21766561514195584	0.06624605678233439
318	0.2169811320754717	0.0660377358490566
319	0.21630094043887146	0.06583072100313479
320	0.215625	0.065625
321	0.21495327102803738	0.06542056074766354
322	0.21428571428571427	0.06521739130434782
323	0.21362229102167182	0.06501547987616099
324	0.21604938271604937	0.06481481481481481
