1_0_2_4_0_0	1.0532657201441956e-06
1_0_3_0_0_3	0.000978303294176212
1_0_3_0_1_2	0.00041191717649524304
1_0_3_0_2_1	4.971414199080464e-05
1_0_3_0_3_0	1.6852251522307148e-06
1_0_3_1_0_2	0.00041191717649524304
1_0_3_1_1_1	0.00011363232455041062
1_0_3_1_2_0	6.74090060892286e-06
1_0_3_2_0_1	4.971414199080464e-05
1_0_3_2_1_0	6.74090060892286e-06
1_0_3_3_0_0	1.6852251522307148e-06
1_0_4_0_0_2	6.436205882738165e-05
1_0_4_0_1_1	1.775505071100164e-05
1_0_4_0_2_0	1.0532657201441956e-06
1_0_4_1_0_1	1.775505071100164e-05
1_0_4_1_1_0	2.4074645031867334e-06
1_0_4_2_0_0	1.0532657201441956e-06
1_0_5_0_0_1	1.775505071100165e-06
1_0_5_0_1_0	2.407464503186735e-07
1_0_5_1_0_0	2.407464503186735e-07
1_0_6_0_0_0	1.5046653144917088e-08
1_1_0_0_0_5	0.021522672471876673
1_1_0_0_1_4	0.01565285270681951
1_1_0_0_2_3	0.003913213176704849
1_1_0_0_3_2	0.00041191717649524304
1_1_0_0_4_1	1.775505071100164e-05
1_1_0_0_5_0	2.407464503186735e-07
1_1_0_1_0_4	0.01565285270681951
1_1_0_1_1_3	0.008944487261039673
1_1_0_1_2_2	0.0016476687059809665
1_1_0_1_3_1	0.00011363232455041042
1_1_0_1_4_0	2.407464503186729e-06
1_1_0_2_0_3	0.003913213176704849
1_1_0_2_1_2	0.0016476687059809665
1_1_0_2_2_1	0.00019885656796321823
1_1_0_2_3_0	6.740900608922848e-06
1_1_0_3_0_2	0.00041191717649524304
1_1_0_3_1_1	0.00011363232455041062
1_1_0_3_2_0	6.74090060892286e-06
1_1_0_4_0_1	1.775505071100164e-05
1_1_0_4_1_0	2.4074645031867334e-06
1_1_0_5_0_0	2.407464503186735e-07
1_1_1_0_0_4	0.01565285270681951
1_1_1_0_1_3	0.008944487261039673
1_1_1_0_2_2	0.0016476687059809665
1_1_1_0_3_1	0.00011363232455041042
1_1_1_0_4_0	2.407464503186729e-06
1_1_1_1_0_3	0.008944487261039673
1_1_1_1_1_2	0.003766099899385074
1_1_1_1_2_1	0.0004545292982016418
1_1_1_1_3_0	1.5407772820395084e-05
1_1_1_2_0_2	0.0016476687059809665
1_1_1_2_1_1	0.0004545292982016418
1_1_1_2_2_0	2.69636024356914e-05
1_1_1_3_0_1	0.00011363232455041042
1_1_1_3_1_0	1.5407772820395084e-05
1_1_1_4_0_0	2.407464503186729e-06
1_1_2_0_0_3	0.003913213176704849
1_1_2_0_1_2	0.0016476687059809665
1_1_2_0_2_1	0.00019885656796321823
1_1_2_0_3_0	6.740900608922848e-06
1_1_2_1_0_2	0.0016476687059809665
1_1_2_1_1_1	0.0004545292982016418
1_1_2_1_2_0	2.69636024356914e-05
1_1_2_2_0_1	0.00019885656796321823
1_1_2_2_1_0	2.69636024356914e-05
1_1_2_3_0_0	6.740900608922848e-06
1_1_3_0_0_2	0.00041191717649524304
1_1_3_0_1_1	0.00011363232455041062
1_1_3_0_2_0	6.74090060892286e-06
1_1_3_1_0_1	0.00011363232455041062
1_1_3_1_1_0	1.540777282039511e-05
1_1_3_2_0_0	6.74090060892286e-06
1_1_4_0_0_1	1.775505071100164e-05
1_1_4_0_1_0	2.4074645031867334e-06
1_1_4_1_0_0	2.4074645031867334e-06
1_1_5_0_0_0	2.407464503186735e-07
1_2_0_0_0_4	0.006848123059233523
1_2_0_0_1_3	0.003913213176704849
1_2_0_0_2_2	0.000720855058866674
1_2_0_0_3_1	4.971414199080464e-05
1_2_0_0_4_0	1.0532657201441956e-06
1_2_0_1_0_3	0.003913213176704849
1_2_0_1_1_2	0.0016476687059809665
1_2_0_1_2_1	0.00019885656796321823
1_2_0_1_3_0	6.740900608922848e-06
1_2_0_2_0_2	0.000720855058866674
1_2_0_2_1_1	0.00019885656796321823
1_2_0_2_2_0	1.1796576065614985e-05
1_2_0_3_0_1	4.971414199080464e-05
1_2_0_3_1_0	6.74090060892286e-06
1_2_0_4_0_0	1.0532657201441956e-06
1_2_1_0_0_3	0.003913213176704849
1_2_1_0_1_2	0.0016476687059809665
1_2_1_0_2_1	0.00019885656796321823
1_2_1_0_3_0	6.740900608922848e-06
1_2_1_1_0_2	0.0016476687059809665
1_2_1_1_1_1	0.0004545292982016418
1_2_1_1_2_0	2.69636024356914e-05
1_2_1_2_0_1	0.00019885656796321823
1_2_1_2_1_0	2.69636024356914e-05
1_2_1_3_0_0	6.740900608922848e-06
1_2_2_0_0_2	0.000720855058866674
1_2_2_0_1_1	0.00019885656796321823
1_2_2_0_2_0	1.1796576065614985e-05
1_2_2_1_0_1	0.00019885656796321823
1_2_2_1_1_0	2.69636024356914e-05
1_2_2_2_0_0	1.1796576065614985e-05
1_2_3_0_0_1	4.971414199080464e-05
1_2_3_0_1_0	6.74090060892286e-06
1_2_3_1_0_0	6.74090060892286e-06
1_2_4_0_0_0	1.0532657201441956e-06
1_3_0_0_0_3	0.000978303294176212
1_3_0_0_1_2	0.00041191717649524304
1_3_0_0_2_1	4.971414199080464e-05
1_3_0_0_3_0	1.6852251522307148e-06
1_3_0_1_0_2	0.00041191717649524304
1_3_0_1_1_1	0.00011363232455041062
1_3_0_1_2_0	6.74090060892286e-06
1_3_0_2_0_1	4.971414199080464e-05
